observation_date;M2SL
2013-04-01;10600
2013-05-01;10634,2
2013-06-01;10691,3
2013-07-01;10730,5
2013-08-01;10788,5
2013-09-01;10848,9
2013-10-01;10973,2
2013-11-01;10981,9
2013-12-01;11046,9
2014-01-01;11116,6
2014-02-01;11182,3
2014-03-01;11218,2
2014-04-01;11263,1
2014-05-01;11327,6
2014-06-01;11382,8
2014-07-01;11437,5
2014-08-01;11461,6
2014-09-01;11502,8
2014-10-01;11576,6
2014-11-01;11617,3
2014-12-01;11701
2015-01-01;11787,8
2015-02-01;11904,7
2015-03-01;11902,8
2015-04-01;11936,7
2015-05-01;11964,2
2015-06-01;12004,6
2015-07-01;12048,3
2015-08-01;12093,1
2015-09-01;12154,3
2015-10-01;12205,6
2015-11-01;12296,9
2015-12-01;12368,2
2016-01-01;12505,5
2016-02-01;12577,7
2016-03-01;12628,6
2016-04-01;12707,6
2016-05-01;12774,6
2016-06-01;12835,1
2016-07-01;12889,3
2016-08-01;12973,6
2016-09-01;13033,8
2016-10-01;13107,1
2016-11-01;13180,6
2016-12-01;13225,8
2017-01-01;13300,3
2017-02-01;13367
2017-03-01;13428,4
2017-04-01;13484,4
2017-05-01;13536,4
2017-06-01;13558,1
2017-07-01;13615,1
2017-08-01;13674,3
2017-09-01;13722,7
2017-10-01;13782
2017-11-01;13814,6
2017-12-01;13873,5
2018-01-01;13882,9
2018-02-01;13919
2018-03-01;13975,8
2018-04-01;13993,7
2018-05-01;14049,4
2018-06-01;14109,7
2018-07-01;14143,9
2018-08-01;14193,6
2018-09-01;14229,1
2018-10-01;14241,1
2018-11-01;14260,5
2018-12-01;14382,3
2019-01-01;14445,7
2019-02-01;14480,8
2019-03-01;14525,9
2019-04-01;14554,2
2019-05-01;14652
2019-06-01;14771
2019-07-01;14853,1
2019-08-01;14934,3
2019-09-01;15031
2019-10-01;15166,9
2019-11-01;15276,4
2019-12-01;15347,6
2020-01-01;15416,3
2020-02-01;15466,6
2020-03-01;15993,4
2020-04-01;17005,4
2020-05-01;17852,9
2020-06-01;18140,6
2020-07-01;18297,7
2020-08-01;18364,1
2020-09-01;18596,4
2020-10-01;18751,1
2020-11-01;18978,9
2020-12-01;19133
2021-01-01;19359,5
2021-02-01;19596,5
2021-03-01;19823,2
2021-04-01;20161,5
2021-05-01;20430,6
2021-06-01;20472,9
2021-07-01;20628,2
