Date;Price;Open;High;Low;Change %
7.01.2021;92,17;92,35;93,19;91,78;-0,28
6.01.2021;92,44;89,81;92,45;89,66;2,67
5.01.2021;90,03;91,3;91,44;89,54;-1,37
4.01.2021;91,28;93,22;93,34;90,42;-2,09
3.01.2021;93,23;90,93;93,44;90,63;2,59
2.01.2021;90,88;90,53;91,6;89,68;0,33
1.01.2021;90,58;89,93;90,95;89,21;0,72
12.01.2020;89,94;91,94;91,94;89,52;-2,1
11.01.2020;91,87;93,89;94,3;91,51;-2,31
10.01.2020;94,04;93,8;94,1;92,47;0,16
9.01.2020;93,89;92,18;94,74;91,75;1,89
8.01.2020;92,14;93,46;93,99;91,99;-1,29
7.01.2020;93,35;97,39;97,62;92,55;-4,15
6.01.2020;97,39;98,3;98,32;95,72;-0,97
5.01.2020;98,34;99,13;100,56;97,94;-0,68
4.01.2020;99,02;99,01;100,93;98,81;-0,03
3.01.2020;99,05;98,12;102,99;94,65;0,93
2.01.2020;98,13;97,37;99,91;97,37;0,76
1.01.2020;97,39;96,5;98,19;96,39;1,04
12.01.2019;96,39;98,27;98,38;96,36;-1,92
11.01.2019;98,27;97,3;98,54;97,11;0,95
10.01.2019;97,35;99,4;99,67;97,14;-2,04
9.01.2019;99,38;98,83;99,46;97,86;0,47
8.01.2019;98,92;98,59;99,02;97,03;0,41
7.01.2019;98,52;96,25;98,68;96,25;2,48
6.01.2019;96,13;97,64;97,8;95,84;-1,66
5.01.2019;97,75;97,53;98,37;97,03;0,28
4.01.2019;97,48;97,18;98,33;96,75;0,2
3.01.2019;97,28;96,22;97,71;95,74;1,17
2.01.2019;96,16;95,55;97,37;95,4;0,61
1.01.2019;95,58;96,15;96,96;95,03;-0,62
12.01.2018;96,17;97,13;97,71;96;-1,13
11.01.2018;97,27;97,08;97,69;95,68;0,15
10.01.2018;97,13;95,11;97,2;94,79;2,1
9.01.2018;95,13;95,19;95,74;93,81;-0,01
8.01.2018;95,14;94,56;96,98;94,43;0,68
7.01.2018;94,49;94,63;95,65;93,71;-0,15
6.01.2018;94,64;93,95;95,53;93,19;0,69
5.01.2018;93,99;91,81;95,03;91,8;2,33
4.01.2018;91,84;89,97;91,99;89,23;2,08
3.01.2018;89,97;90,67;90,93;88,94;-0,71
2.01.2018;90,61;89,04;90,7;88,25;1,66
1.01.2018;89,13;92,24;92,64;88,44;-3,25
12.01.2017;92,12;93,03;94,22;92,08;-0,99
11.01.2017;93,05;94,55;95,15;92,5;-1,59
10.01.2017;94,55;93,22;95,15;92,75;1,59
9.01.2017;93,08;92,61;93,67;91,01;0,44
8.01.2017;92,67;92,89;94,14;91,62;-0,21
7.01.2017;92,86;95,65;96,51;92,78;-2,89
6.01.2017;95,63;96,99;97,87;95,47;-1,34
5.01.2017;96,92;98,93;99,89;96,8;-2,15
4.01.2017;99,05;100,5;101,34;98,69;-1,3
3.01.2017;100,35;101,43;102,26;98,86;-0,76
2.01.2017;101,12;99,56;101,76;99,23;1,62
1.01.2017;99,51;102,38;103,82;99,43;-2,64
12.01.2016;102,21;101,52;103,65;99,43;0,7
11.01.2016;101,5;98,39;102,05;95,89;3,1
10.01.2016;98,44;95,54;99,12;95,46;3,12
9.01.2016;95,46;95,98;96,33;94,46;-0,58
8.01.2016;96,02;95,59;96,52;94,08;0,51
7.01.2016;95,53;95,89;97,57;95,34;-0,64
6.01.2016;96,14;95,81;96,71;93,02;0,26
5.01.2016;95,89;93,02;95,97;91,92;3,02
4.01.2016;93,08;94,64;95,2;93,01;-1,59
3.01.2016;94,59;98,18;98,58;94,32;-3,69
2.01.2016;98,21;99,55;99,63;95,24;-1,4
1.01.2016;99,61;98,59;99,83;98,05;0,99
12.01.2015;98,63;100,23;100,51;97,19;-1,54
11.01.2015;100,17;96,69;100,31;96,64;3,33
10.01.2015;96,95;96,27;97,82;93,81;0,62
9.01.2015;96,35;95,93;96,7;94,06;0,55
8.01.2015;95,82;97,22;98,33;92,62;-1,55
7.01.2015;97,34;95,58;98,15;95,45;1,94
6.01.2015;95,49;96,9;97,68;93,56;-1,47
5.01.2015;96,91;94,82;97,78;93,13;2,44
4.01.2015;94,6;98,42;99,99;94,4;-3,82
3.01.2015;98,36;95,38;100,39;95,06;3,19
2.01.2015;95,32;94,58;95,85;93,25;0,55
1.01.2015;94,8;90,36;95,48;90,33;5,02
12.01.2014;90,27;88,16;90,32;87,63;2,17
11.01.2014;88,36;87,08;88,44;86,88;1,66
10.01.2014;86,92;85,92;87,13;84,47;1,14
9.01.2014;85,94;82,77;86,22;82,67;3,85
8.01.2014;82,75;81,44;82,75;81,19;1,59
7.01.2014;81,46;79,79;81,57;79,74;2,11
6.01.2014;79,78;80,36;81,02;79,76;-0,74
5.01.2014;80,37;79,51;80,58;78,91;1,13
4.01.2014;79,47;80,1;80,6;79,33;-0,78
3.01.2014;80,1;79,9;80,35;79,27;0,51
2.01.2014;79,69;81,28;81,32;79,69;-1,99
1.01.2014;81,31;80,21;81,39;80,08;1,59
12.01.2013;80,04;80,66;80,99;79,69;-0,8
11.01.2013;80,68;80,23;81,48;80,25;0,6
10.01.2013;80,19;80,27;80,75;79;-0,03
9.01.2013;80,22;82,05;82,67;80,03;-2,27
8.01.2013;82,09;81,66;82,49;80,75;0,78
7.01.2013;81,45;83,18;84,75;81,41;-2,03
6.01.2013;83,14;83,32;83,38;80,5;-0,15
5.01.2013;83,26;81,71;84,5;81,33;1,85
4.01.2013;81,75;83,05;83,49;81,6;-1,77
